repo_owner,repo_name,payload_commit_msg,created_at,dummy_column_do_not_delete,Status,commit_link,redirect_link,original_commit,Labels Gustavo,Labels Irineu,Labels Felipe,Consolidated Labels,Latest_404_status,What,Why,Codes,Themes,Secondary Themes,Noteworthy,Certainity,Environment,Bug fix,Level,Languages,Intention ,Repo,author_login,Final Themes,Final conditions,committer_login,Level detailed
Whitehawkx,frameworks_base,"Don't enable the light sensor if it's not being used We want to fully disable the lightsensor when it's not used, for two reasons: 1 - Power savings 2 - Sensors that control the backlight directly need to be disabled when brightness control is set to manual. Forcibly enabling the sensor when the screen turns on makes these devices incapable of using manual brightness. Change-Id: I64c1114348ff096e0a72b265f6f141d1ecef249c Fix button backlights that depend on ALS On a few devices, lighting the buttons when the screen turns on depends on the lightsensor, regardless of the user preference. So go back to enabling the sensor whenever the screen turns on, and enforce the user preference after running through the light settings once. Change-Id: I6f036a32315eb7688a9cd11d4bd70dbca1b2fa8b",12/03/2012 15:06:10,,NOT-FOUND,https://github.com/Whitehawkx/frameworks_base/commit/6e1e074c7ebf6f7145994c9f930428d4cdba3433,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,Whitehawkx/frameworks_base,,,,,
Clust3r,frameworks_base-1,"Don't enable the light sensor if it's not being used We want to fully disable the lightsensor when it's not used, for two reasons: 1 - Power savings 2 - Sensors that control the backlight directly need to be disabled when brightness control is set to manual. Forcibly enabling the sensor when the screen turns on makes these devices incapable of using manual brightness. Change-Id: I64c1114348ff096e0a72b265f6f141d1ecef249c Fix button backlights that depend on ALS On a few devices, lighting the buttons when the screen turns on depends on the lightsensor, regardless of the user preference. So go back to enabling the sensor whenever the screen turns on, and enforce the user preference after running through the light settings once. Change-Id: I6f036a32315eb7688a9cd11d4bd70dbca1b2fa8b",12/03/2012 15:44:09,,NOT-FOUND,https://github.com/Clust3r/frameworks_base-1/commit/8b3c318a520e98ef619ce17ff1fe5d7ca8406faf,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,Clust3r/frameworks_base-1,,,,,
nicedude,N64_Controller_Wireless_Rumble,"added approximated power consumption, started pcb layout, finished some of wireless module schematic",13/03/2012 22:10:09,,FALSE-POSITIVE,https://github.com/nicedude/N64_Controller_Wireless_Rumble/commit/d48f51ab5bcaa5d864b37cb9c7dcf9cfe878540e,,,[FALSE-POSITIVE],[FALSE-POSITIVE] [Big commit] [Over 5k],[DO NOT ANALYZE],[Big commit] [Over 5k],EXISTS,,,,,,,,,,,,,nicedude/N64_Controller_Wireless_Rumble,nicedude,,,nicedude,
BobZhome,GingerKernel-thunderc,cpuidle: menu: fixed wrapping timers at 4.294 seconds commit 7467571f4480b273007517b26297c07154c73924 upstream. Cpuidle menu governor is using u32 as a temporary datatype for storing nanosecond values which wrap around at 4.294 seconds. This causes errors in predicted sleep times resulting in higher than should be C state selection and increased power consumption. This also breaks cpuidle state residency statistics. Signed-off-by: Tero Kristo <tero.kristo@nokia.com> Signed-off-by: Len Brown <len.brown@intel.com> Signed-off-by: Greg Kroah-Hartman <gregkh@suse.de>,14/03/2012 01:06:07,,NOT-FOUND,https://github.com/BobZhome/GingerKernel-thunderc/commit/b4e931515f320f65a72080c567843852d8373edd,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,BobZhome/GingerKernel-thunderc,,,,,
BobZhome,GingerKernel-thunderc,cpuidle: menu: fixed wrapping timers at 4.294 seconds commit 7467571f4480b273007517b26297c07154c73924 upstream. Cpuidle menu governor is using u32 as a temporary datatype for storing nanosecond values which wrap around at 4.294 seconds. This causes errors in predicted sleep times resulting in higher than should be C state selection and increased power consumption. This also breaks cpuidle state residency statistics. Signed-off-by: Tero Kristo <tero.kristo@nokia.com> Signed-off-by: Len Brown <len.brown@intel.com> Signed-off-by: Greg Kroah-Hartman <gregkh@suse.de>,15/03/2012 00:56:35,,DUPLICATE,https://github.com/BobZhome/GingerKernel-thunderc/commit/53e0574cb448e1e98c16212c54b66b9976c893b9,,,,,,,EXISTS,,,,,,,,,,,,,BobZhome/GingerKernel-thunderc,LorDClockaN,,,BobZhome,
GreatEmerald,Arcomage-Clone,"Moved Linux 64-bit directory to /bin/linux-x86_64 from the main /bin directory. Disabled debugging output. Small energy saving fix, fix for drawing message text and prevention against accidental closing of the game after the victory is attained. Version: 1.alpha.12.02 Signed-off-by: GreatEmerald <pastas4@gmail.com>",15/03/2012 09:50:52,,UNABLE-TO-CATEGORIZE,https://github.com/GreatEmerald/Arcomage-Clone/commit/e97711e960e13237b6189585ac1933f9470ab8ed,,,[OK][Go to idle],[OK],[OK] [Bug fix],[UNABLE-TO-CATEGORIZE] [Go to idle] [Bug fix],EXISTS,,,[REVIEW],,,,,,,,,,GreatEmerald/Arcomage-Clone,GreatEmerald,,,GreatEmerald,
svenkatr,linux,"mmc: omap_hsmmc: Avoid a regulator voltage change with dt When booting with Device tree, the omap_hsmmc driver does not program the pbias cell (inside OMAP control module) during a regulator voltage change. In case of non-dt boot, this is handled using callbacks from within platform_data and implemented in machine code. To be able to do this with device tree, without invoking any machine code, a OMAP control module driver is needed which is yet missing. The pbias cell is used to provide a 1.8v or 3.0v reference to the mmc/sd/sdio1 interface supporting both 1.8v and 3.0v voltages. Until a OMAP control module driver is available to handle this, when booting with a device tree blob, never change the regulator voltage which might then require a pbias cell re-program. There are 2 instances where in the mmc regulator voltage can be changed. -1- when the regulator is turned OFF. -2- when attempting a switch to 1.8v from 3.0v for dual volt cards This patch avoids a voltage change in both cases when booting from device tree, and hence compromises on power savings. Once the OMAP control module driver is available and hsmmc driver is modified to then do pbias programming even when booting with device tree, these limitaions can be removed to achieve better power savings. Signed-off-by: Rajendra Nayak <rnayak@ti.com> Tested-by: Balaji T K <balajitk@ti.com> Signed-off-by: Chris Ball <cjb@laptop.org>",15/03/2012 13:55:39,,NOT-FOUND,https://github.com/svenkatr/linux/commit/5f0390f10c0e9c9c504cdbf4af802252628a2490,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,svenkatr/linux,,,,,
teamgummy,frameworks_base,"Don't enable the light sensor if it's not being used We want to fully disable the lightsensor when it's not used, for two reasons: 1 - Power savings 2 - Sensors that control the backlight directly need to be disabled when brightness control is set to manual. Forcibly enabling the sensor when the screen turns on makes these devices incapable of using manual brightness. Change-Id: I64c1114348ff096e0a72b265f6f141d1ecef249c Fix button backlights that depend on ALS On a few devices, lighting the buttons when the screen turns on depends on the lightsensor, regardless of the user preference. So go back to enabling the sensor whenever the screen turns on, and enforce the user preference after running through the light settings once. Change-Id: I6f036a32315eb7688a9cd11d4bd70dbca1b2fa8b",16/03/2012 02:24:54,,DUPLICATE,https://github.com/teamgummy/frameworks_base/commit/0af612eec2b54423f41d39f49b62c329449a72b6,,,,,,,EXISTS,,,,,,,,,,,,,teamgummy/frameworks_base,rmcc,,,kejar31,
teamgummy,frameworks_base,"Don't enable the light sensor if it's not being used We want to fully disable the lightsensor when it's not used, for two reasons: 1 - Power savings 2 - Sensors that control the backlight directly need to be disabled when brightness control is set to manual. Forcibly enabling the sensor when the screen turns on makes these devices incapable of using manual brightness. Change-Id: I64c1114348ff096e0a72b265f6f141d1ecef249c Fix button backlights that depend on ALS On a few devices, lighting the buttons when the screen turns on depends on the lightsensor, regardless of the user preference. So go back to enabling the sensor whenever the screen turns on, and enforce the user preference after running through the light settings once. Change-Id: I6f036a32315eb7688a9cd11d4bd70dbca1b2fa8b",16/03/2012 02:31:25,,DUPLICATE,https://github.com/teamgummy/frameworks_base/commit/f3936c4ed86304de7ac41481ab9110457bef6af0,,,,,,,EXISTS,,,,,,,,,,,,,teamgummy/frameworks_base,rmcc,,,kejar31,
BobZhome,GingerKernel-thunderc,mmc: core: put eMMC in sleep (cmd5) mode before suspend Put MMC to sleep if it supports SLEEP/AWAKE (CMD5) in the mmc suspend to minimize power consumption.,16/03/2012 20:30:39,,OK,https://github.com/BobZhome/GingerKernel-thunderc/commit/1a5038d0e9518d572e7e49af148a710fab77b2ad,,,[OK][Go to Idle],[OK] [Go to idle] [Android] [General solution],[DO NOT ANALYZE],[Go to idle] [Android] [General solution],EXISTS,[put eMMC in sleep mode before suspend],[minimize power consumption],[Sleep component before going to suspend],[Enable device low power mode],,,Certain,Android,No,OS,C,mmc suspend to minimize power consumption,BobZhome/GingerKernel-thunderc,LorDClockaN,[Disabling feature/devices],,BobZhome,Driver
